State,Station Name (LEA),NSN,Item Name,Quantity,UI,Acquisition Value,DEMIL Code,DEMIL IC,Ship Date,Station Type
NH,KINGSTON POLICE DEPT,2340-DS-ATV-GATO,"ALL TERRAIN VEHICLE, AG/BVUS",8,Each,5000,A,,2019-09-05 00:00:00,State
NH,KINGSTON POLICE DEPT,2340-DS-ATV-GATO,"ALL TERRAIN VEHICLE, AG/BVUS",2,Each,5000,A,,2019-09-05 00:00:00,State
NH,KINGSTON POLICE DEPT,7110-DS-SAF-E000,SAFE,1,Each,499,A,,2018-12-18 00:00:00,State
NH,KINGSTON POLICE DEPT,7110-DS-SAF-E000,SAFE,1,Each,649.99,A,,2018-12-18 00:00:00,State
NH,KINGSTON POLICE DEPT,6115-DS-GEN-ERA1,"GENERATORS AND GENERATOR SETS, ELECTRICA",1,Each,1999.95,A,,2018-12-18 00:00:00,State
NH,KINGSTON POLICE DEPT,8115-01-016-5909,"CONTAINER,INSULATED",2,Each,10106,A,1,2019-05-07 00:00:00,State
NH,KINGSTON POLICE DEPT,2320-01-230-0305,"TRUCK,DUMP",1,Each,72425,Q,6,2019-04-19 00:00:00,State
NH,KINGSTON POLICE DEPT,8115-DS-BOX-0001,BOX,1,Each,2500,A,,2018-11-09 00:00:00,State
NH,KINGSTON POLICE DEPT,3930-DS-FOR-KLIF,FORKLIFT,1,Each,35986,A,,2018-12-27 00:00:00,State
NH,KINGSTON POLICE DEPT,4140-DS-FAN-0000,FAN,2,Each,200,A,,2018-10-19 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",6,Each,321,D,1,2012-03-21 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,5855-00-629-5327,NIGHT VISION SIGHT CREW SERVED WEAPONS,1,Each,3433,F,1,2012-03-21 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,1240-01-411-1265,"SIGHT,REFLEX",3,Each,321,D,1,2012-03-21 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,5855-00-629-5334,NIGHT VISION SIGHT INDIVIDUAL SERVED WEAPONS,1,Each,5650,F,1,2012-03-21 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,1005-00-921-5004,"MAGAZINE,CARTRIDGE",4,Each,13.56,D,1,2012-02-22 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,6650-00-530-0960,"TELESCOPE,STRAIGHT",4,Each,442,D,1,2012-03-10 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,5860-01-471-2091,"BORELIGHT SYSTEM,LA",1,Each,388,D,1,2012-03-11 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,1005-00-921-5004,"MAGAZINE,CARTRIDGE",83,Each,13.56,D,1,2012-03-11 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,1240-01-411-6350,"TELESCOPE,STRAIGHT",17,Each,814,D,7,2012-03-10 00:00:00,State
NH,LANCASTER POLICE DEPARTMENT,7021-DS-LAP-TOP2,LAPTOP COMPUTER,6,Each,600,D,,2012-02-22 00:00:00,State
